plot,datasheet_number,subplot,individual_number,species_raw,genus,species,usda_code,percent_cover
LOLA_04,2,NA,2,Cylindropuntia bigelovli,,,,NA
LOLA_04,2,NA,3,Parkinsonia microphylla,,,,NA
LOLA_04,2,NA,4,Lycium sp 2,,,,NA
LOLA_04,2,NA,5,Hesperostipa neomexicana,,,,NA
LOLA_04,2,NA,6,Lepidium densiflorum,,,,NA
LOLA_04,2,NA,7,Pennelia longifolia,,,,NA
LOLA_04,2,NA,8,Ferocactus wislizeni,,,,NA
LOLA_04,2,NA,9,Abutiton abutiloides,,,,NA
LOLA_04,2,NA,10,Ambrosia deltoidea,,,,NA
LOLA_04,2,NA,11,Trixis californica,,,,NA
LOLA_04,2,NA,12,Cottsia gracile,,,,NA
LOLA_05,2b,NA,1A,Krameria erecta,,,,NA
LOLA_05,2b,NA,1B,cf. Oroborche cooperi,,,,NA
LOLA_05,2b,NA,2,Unknown dried up cf. Scrophulariaceae,,,,NA
LOLA_05,2b,NA,3,Cottsia gracile,,,,NA
LOLA_05,2b,NA,4,Foquiera splendens,,,,NA
LOLA_05,2b,NA,5,Ferocactus wislizeni,,,,NA
LOLA_05,2b,NA,6,cf. Gutierezia sorothrae,,,,NA
LOLA_05,2b,NA,7,Lycium sp. 2,,,,NA
LOLA_05,2b,NA,8,Prosopsis velutina,,,,NA
LOLA_05,2b,NA,9,Muhlenbergia porteri,,,,NA
LOLA_05,2b,NA,10,Lepidium densiflorum,,,,NA
LOLA_06,2b,NA,1,Trixis californica,,,,NA
LOLA_06,2b,NA,2,Pennisetum ciliare,,,,NA
LOLA_06,2b,NA,3,Xanthisima gracile,,,,NA
LOLA_06,2b,NA,4,Marina parryi,,,,NA
LOLA_06,2b,NA,5,Parkinsonia microphylla,,,,NA
LOLA_06,2b,NA,6,Echinocerus triglo,,,,NA
LOLA_06,2b,NA,7,Mistletoe (on a palo verde),,,,NA
LOLA_06,2b,NA,8,Bouteloua cardiophylla,,,,NA
LOLA_06,2b,NA,9,Jatropha caridophylla,,,,NA
LOLA_06,2b,NA,10,Ferocactus wislizeni,,,,NA
LOLA_06,2b,NA,11,Cryptontha sp. -> Unk 2,,,,NA
LOLA_06,2b,NA,12,Lycium sp. 2,,,,NA
LOLA_06,2b,NA,13,cf. Bebbia juncea,,,,NA
RR_01,2,NA,1,Lycium porishii,,,,NA
RR_01,2,NA,2,Allionia incarnata,,,,NA
RR_01,2,NA,3,Bothriochloa barbinodis,,,,NA
RR_01,2,NA,4,Unknown forb,,,,NA
RR_01,2,NA,5,Cylindropuntia versicolor,,,,NA
RR_01,2,NA,6,Sphaerelcia cf. ambigua,,,,NA
RR_01,2,NA,7,Acacia greggii,,,,NA
RR_01,2,NA,8,Muhlenbergia porteri,,,,NA
RR_01,2,NA,9,Ayenia filiformis,,,,NA
RR_01,2,NA,10,Bouteloua curdipendula,,,,NA
RR_01,2,NA,11,Macharaerthera bigelovii,,,,NA
RR_01,2,NA,12,Ferocactus wislizeni,,,,NA
RR_01,2,NA,13,Eriogorum wrightii,,,,NA
RR_01,2,NA,14,Mammilaria microcarpa,,,,NA
RR_01,2,NA,15,Lycium sp.,,,,NA
RR_01,2,NA,16,Erigeron divergens,,,,NA
RR_01,2,NA,17,Mimosa aculetecorpa,,,,NA
RR_01,2,NA,18,Sida abutifolia,,,,NA
RR_01,2,NA,19,Unk shurb w pinrately - maybe compound dalea? albiflora leaves,,,,NA
RR_01,2,NA,20,Grutierezia sorothrae,,,,NA
RR_01,2,NA,21,Amaranthus palmeri,,,,NA
RR_01,2,NA,22,Justicia longii,,,,NA
RR_02,2b,NA,1,Staghorn cholla - Cylindropuntia versicolor,,,,NA
RR_02,2b,NA,2,Mammallari grahamii,,,,NA
RR_02,2b,NA,3,Red-barked shrub w/cottonwood-shaped lvs - Jatropha caridophylla,,,,NA
RR_02,2b,NA,4,Allionia incarnata,,,,NA
RR_02,2b,NA,5,cf. Erodium cicutarium,,,,NA
RR_02,2b,NA,6,Allium sp.,,,,NA
RR_02,2b,NA,7,Muhlenbergia porteri,,,,NA
RR_02,2b,NA,8,Mimosa aculetecorpa,,,,NA
RR_02,2b,NA,9,Vulpia bromoides,,,,NA
RR_02,2b,NA,10,Unknown with beeked siliques (cf. Brassica nigra),,,,NA
RR_02,2b,NA,11,Mint/Borage/verbena bush - Aloysia wrightii,,,,NA
RR_02,2b,NA,12,Erigeron divergens,,,,NA
RR_02,2b,NA,13,Mocharaenthera bigelovii,,,,NA
RR_02,2b,NA,14,Ambrosia psilostachys,,,,NA
RR_03,2,NA,1,Acacia greggii,,,,NA
RR_03,2,NA,2,Dasilerion wheeleri,,,,NA
RR_03,2,NA,3,Ambrosia abrosioides,,,,NA
RR_03,2,NA,4,Opuntia engelmannii,,,,NA
RR_03,2,NA,5,Cottsia gracilis,,,,NA
RR_03,2,NA,6,cf. Agave schottii,,,,NA
RR_03,2,NA,7,Acourtia (peresiza),,,,NA
RR_03,2,NA,8,Eriogonum wrightii,,,,NA
RR_03,2,NA,9,Sphaerelcea ambigua,,,,NA
RR_03,2,NA,10,Justicia longii,,,,NA
RR_03,2,NA,11,Ferocactus wislizeni,,,,NA
RR_03,2,NA,12,Foquiera splendens,,,,NA
RR_03,2,NA,13,Erigeron divergens,,,,NA
RR_03,2,NA,14,Muhlenbergia porteri,,,,NA
RR_04,2,NA,1,Bouteloua repens,,,,NA
RR_04,2,NA,2,Fern 3,,,,NA
RR_04,2,NA,3,Plantago purshii,,,,NA
RR_04,2,NA,4,Abutiton abutiloides,,,,NA
RR_04,2,NA,5,Lycium sp. 2,,,,NA
RR_04,2,NA,6,Unarmed acacia,,,,NA
RR_04,2,NA,7,Evolvulus arizonicus,,,,NA
RR_04,2,NA,8,Tridens mutica,,,,NA
RR_04,2,NA,9,Carnegiea gigantea,,,,NA
RR_04,2,NA,10,Prosopsis velutina,,,,NA
RR_04,2,NA,11,Muhlenbergia porteri,,,,NA
RR_04,2,NA,12,Allionia incarnata,,,,NA
RR_04,2,NA,13,Abutiton abutiloides,,,,NA
RR_04,2,NA,14,Ayenia filiformis,,,,NA
RR_04,2,NA,15,Lycium sp. (same as RR_01),,,,NA
RR_05,2,NA,1,Muhlenbergia porteri,,,,NA
RR_05,2,NA,2,Abutiton abutiloides,,,,NA
RR_05,2,NA,3,Jatropha caridophylla,,,,NA
RR_05,2,NA,4,"Fab subshrub, purple flrs > to key",,,,NA
RR_05,2,NA,5,Unk brassicaceae,,,,NA
RR_05,2,NA,6,Echinocereus triglo,,,,NA
RR_05,2,NA,7,Ferocactus wislizeni,,,,NA
RR_05,2,NA,8,Cylindropuntia versicolor,,,,NA
RR_05,2,NA,9,Justicia longii,,,,NA
RR_05,2,NA,10,Unkown aster,,,,NA
RR_05,2,NA,11,Carnegiea gigantea,,,,NA
RR_05,2,NA,12,Unarmed acacia,,,,NA
RR_05,2,NA,13,Acacia greggii,,,,NA
RR_05,2,NA,14,Marina parryi,,,,NA
RR_06,2,NA,1,Bouteloua repens,,,,NA
RR_06,2,NA,2,Mammilaria grahamii,,,,NA
RR_06,2,NA,3,dried up perennial herb,,,,NA
RR_06,2,NA,4,Abutiton abutiloides,,,,NA
RR_06,2,NA,5,Unkown Brassicaceae w/drooping siliques,,,,NA
RR_06,2,NA,6,Muhlenbergia porteri,,,,NA
RR_06,2,NA,7,Ferocactus wislizeni,,,,NA
RR_06,2,NA,8,Cylindropuntia versicolor,,,,NA
RR_06,2,NA,9,cf. centauria melitensis,,,,NA
RR_06,2,NA,10,Prosopsis velutina,,,,NA
RR_06,2,NA,11,Brickellia sp.,,,,NA
RR_06,2,NA,12,Pennisetum ciliare,,,,NA
RR_06,2,NA,13,Unk 2,,,,NA
RR_06,2,NA,14,Echinocereus triglo,,,,NA
RR_06,2,NA,15,Macharaerthera bigelovii,,,,NA
RR_06,2,NA,16,Ayenia filiformis,,,,NA
RR_06,2,NA,17,Allium sp.,,,,NA
RR_06,2,NA,18,Metastelma arizonicum,,,,NA
RR_06,2,NA,19,Lycium sp. 2,,,,NA
RR_07,2b,NA,1,Foquiera splendens,,,,NA
RR_07,2b,NA,2,Cylindropuntia versicolor,,,,NA
RR_07,2b,NA,3,Abutiton abutiloides,,,,NA
RR_07,2b,NA,4,Jatropha caridophylla,,,,NA
RR_07,2b,NA,5,Lycium sp 2,,,,NA
RR_07,2b,NA,6,Lycium sp,,,,NA
RR_07,2b,NA,7,Ephedra cf. trifurca,,,,NA
RR_07,2b,NA,8,Bouteloua repens,,,,NA
RR_07,2b,NA,9,Prosopsis velutina,,,,NA
RR_07,2b,NA,10,Acacia greggii,,,,NA
